State,Year,Quarter,District,Transaction_count,Transaction_amount,Latitude,Longitude,Region
Andaman and Nicobar Islands,2018,1,North and Middle Andaman,442,931663.0771,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2018,1,South Andaman,5688,12560249.34,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2018,1,Nicobars,528,1139848.801,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2018,2,North and Middle Andaman,825,1317863.083,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2018,2,South Andaman,9395,23948235.52,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2018,2,Nicobars,1120,3072436.908,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2018,3,North and Middle Andaman,1283,4901529.518,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2018,3,South Andaman,13511,44268112.46,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2018,3,Nicobars,1471,6387829.152,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2018,4,North and Middle Andaman,2137,7955635.918,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2018,4,South Andaman,20136,75411840.8,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2018,4,Nicobars,1485,7180859.355,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2019,1,North and Middle Andaman,3264,9561708.736,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2019,1,South Andaman,25683,85501972.39,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2019,1,Nicobars,1539,7236059.549,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2019,2,North and Middle Andaman,3371,8612103.138,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2019,2,South Andaman,28490,102530955.7,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2019,2,Nicobars,1828,9111650.824,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2019,3,North and Middle Andaman,4049,11481466.28,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2019,3,South Andaman,27421,91023888.33,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2019,3,Nicobars,2300,11566421.48,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2019,4,North and Middle Andaman,4716,13524056.78,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2019,4,South Andaman,27843,110930312.2,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2019,4,Nicobars,2600,12384161.53,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2020,1,North and Middle Andaman,5674,14697371.62,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2020,1,South Andaman,32713,134679396.9,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2020,1,Nicobars,2911,12099543.77,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2020,2,North and Middle Andaman,10979,22447714.06,11.55482845,92.23849,Southern Region
